temp_measured;r_ntc
19,8;63,52
19,9;63,19
25,0;47
26,0;47,59
27,0;45,69
30,0;40,22
37,6;28,95
41,0;25,19
47,0;19,863
48,0;19,11
51,0;16,88
62,0;11,13
63,0;10,77
79,0;6,095
81,0;5,72
85,0;5,024
87,0;4,704
90,0;4,262
93,0;3,88
;
;
;
;
;
;
;
;
;
;
