temp_measured;r_ntc
0;3867
5;2906
10;2204
15;1697
20;1305
25;1008
30;789
35;620,1
40;490,4
45;389,5
50;311,8
55;250,9
60;203,1
65;165,15
70;134,85
75;110,8
80;91,4
85;75,875
90;63,275
95;52,78
100;44,29
105;37,31
110;31,61
115;26,83
120;22,87
125;19,55
130;16,78
135;14,445
140;12,48
145;10,815
150;9,395
155;8,185
160;7,155
165;6,27
170;5,535
175;4,8475
180;4,282
185;3,7915
190;3,3635
195;2,9915
200;2,667
