temp_measured;r_ntc
0;3797
5;2860
10;2173,1
15;1662
20;1278,3
25;992,4
30;774,5
35;608,5
40;481,1
45;382,7
50;306,1
55;246,28
60;199,22
65;161,99
70;132,43
75;108,75
80;89,71
85;74,35
90;61,9
95;51,75
100;43,45
105;36,62
110;30,99
115;26,33
120;22,44
125;19,2
130;16,48
135;14,19
