temp_measured;r_ntc
25,0;1020
26,0;990
28,0;875
30,0;785
32,0;720
34,0;630
36,0;560
38,0;470
40,0;425
45,0;345
50,0;290
55,0;225
60,0;184
65,0;152
70,0;124
75,0;101
80,0;87
85,0;73,5
90,0;57,3
95,0;47
100,0;39
105,0;33,8
110,0;29,4
115,0;24,4
120,0;21,2
125,0;17,4
130,0;15,6
;
;
