temp_measured;r_ntc
0;557,5
5;449,2
10;363,6
15;296,3
20;242,6
25;199,7
30;165,1
35;137,1
40;114,5
45;95,91
50;80,84
55;68,44
60;58,17
65;49,65
70;42,53
75;36,5
80;31,49
85;27,36
90;23,68
95;20,65
100;18,04
105;15,92
110;14,02
115;12,26
120;10,96
125;9,74
130;8,67
135;7,6
140;6,79
