temp_measured;r_ntc
21,9;56,33
24,5;50,25
28,3;42,66
31,0;37,86
35,7;30,77
39,0;27
44,0;22,08
62,0;10,961
71,0;6,902
75,0;5,634
76,0;5,534
80,0;5,242
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
