temp_measured;r_ntc
0;331
5;256
10;199
15;157
20;124,3
25;98,57
30;78,9
35;63,6
40;51,48
45;41,85
50;34,29
55;28,07
60;23,4
65;19,425
70;16,215
75;13,615
80;11,46
85;9,7
90;8,23
95;7,015
100;5,999
105;5,144
110;4,4375
115;3,836
120;3,3275
125;2,8945
130;2,528
135;2,21
140;1,9495
145;1,706
150;1,505
155;1,331
160;1,1785
165;1,045
170;0,929
175;0,827
180;0,738
185;0,6595
190;0,59245
195;0,5281
200;0,47485
