temp_measured;r_ntc
-40;190,5562
-35;151,5975
-30;116,3519
-25;90,0326
-20;70,5811
-15;55,7284
-10;44,1201
-5;35,0362
0;28,017
5;22,6597
10;18,56
15;16,2797
20;12,69
25;10
30;8,16
35;6,8133
40;5,734
45;4,8286
50;4,065
55;3,4146
60;2,825
65;2,5076
70;2,135
75;1,8225
80;1,586
85;1,4006
90;1,236
95;1,0744
100;0,918
105;0,787
110;0,713
